angle,sun,reflectors_back,reflectors_front,absorber_bottom,absorber_top
180.0,1999.09,29.820425529999998,1428.3438077299998,1398.5233821999998,62.94334773999999
180.5,1962.3700000000001,30.196949560000004,1427.5986641900001,1397.40171463,62.88807139000001
181.0,1954.1699999999998,29.7424674,1427.8905231299998,1398.14805573,62.44354817999999
181.5,1945.9099999999999,30.03122903,1427.32109318,1397.2898641499999,62.675815189999994
182.0,2034.4999999999998,29.901046499999996,1428.1661029999998,1398.2650565,62.2048375
182.5,2027.48,30.22161688,1425.82936496,1395.60774808,62.11387728
183.0,1971.67,29.28718618,1426.8049105100001,1397.51772433,62.65375759
183.5,1963.06,29.911145219999998,1426.4889579599999,1396.57781274,62.69228416
184.0,1954.42,29.564511340000003,1426.1305019000001,1396.56599056,62.27759330000001
184.5,1945.7299999999998,29.29685661,1425.96519937,1396.6683427599999,62.38983245
185.0,1942.71,29.39514501,1425.8073221700001,1396.41217716,62.5746891
185.5,1938.1299999999999,30.22126109,1427.04124274,1396.81998165,61.748821799999995
186.0,1954.1799999999998,29.703535999999996,1427.1669666999999,1397.4634307,61.630928839999996
186.5,1971.1899999999998,29.944347289999996,1426.0179816999998,1396.0736344099998,62.53797393999999
187.0,1989.42,29.77763856,1426.06400208,1396.28636352,62.2489518
187.5,2019.28,29.85101624,1425.19570832,1395.34469208,61.76371736
188.0,1940.95,30.282701900000003,1424.3700394,1394.0873375,62.123986650000006
188.5,1959.25,29.561164,1423.35789925,1393.79673525,61.75556
189.0,1963.1100000000001,29.26800699,1421.9139458700001,1392.6459388800001,62.14224705
189.5,1988.57,29.635658709999998,1420.6045794499998,1390.96892074,62.057303989999994
190.0,2005.5,29.328432,1422.6956834999999,1393.3672514999998,61.332201
190.5,2022.4599999999998,28.68455018,1419.9550087799998,1391.2704585999998,61.968174399999995
191.0,2007.0600000000002,29.3432172,1419.75008868,1390.40687148,61.77931386
191.5,1958.5000000000002,28.535345000000003,1418.7138980000002,1390.1785530000002,60.9739805
192.0,1975.0100000000002,28.181417690000004,1417.52590231,1389.34448462,60.994233830000006
192.5,2000.93,28.2731409,1413.64503942,1385.37189852,60.59216226
193.0,1975.88,27.401503840000004,1410.44044452,1383.0389406800002,61.0250538
193.5,1944.76,26.738505240000002,1409.39479864,1382.6562934,61.17048104
194.0,1960.3300000000002,26.633043380000004,1408.4461364200001,1381.81309304,60.64084822
194.5,1975.89,26.60140707,1409.6927928300001,1383.09138576,60.17770584
195.0,1914.38,26.57925192,1409.6230829200001,1383.043831,60.207251
195.5,1929.36,26.08880592,1410.15378912,1384.0649832,60.751687679999996
196.0,1963.6800000000003,25.86362928,1411.6581331200002,1385.79450384,60.37137792000001
196.5,1978.84,26.15828596,1412.5553572,1386.39707124,59.604639639999995
197.0,1994.17,25.658985389999998,1410.66389298,1385.00490759,60.19202728
197.5,2010.1799999999998,25.7403549,1411.6107115799998,1385.87035668,59.85914003999999
198.0,2043.43,25.816694620000003,1411.24997404,1385.4332794200002,58.95091207
198.5,2002.78,25.67363682,1411.57336346,1385.89972664,59.59472168
199.0,2018.8,25.903222799999998,1411.4157567999998,1385.512534,59.463753999999994
199.5,2041.17,26.051452710000003,1411.2445263000002,1385.19307359,59.35926477
200.0,2056.51,26.06420774,1411.3005526000002,1385.2363448600001,59.08764532
200.5,2071.86,25.66620168,1411.76126028,1386.0950586,58.85739888
201.0,2074.19,25.66187868,1411.5319271800001,1385.8700485,58.44237744
201.5,2089.4500000000003,25.6709827,1408.5964491500001,1382.9254664500002,58.339533450000005
202.0,1965.8200000000002,25.39249694,1409.7838813600001,1384.3913844200001,57.626047480000004
202.5,1980.09,25.76493108,1407.82814928,1382.0632182,57.07807433999999
203.0,1994.3500000000001,25.731103700000002,1404.90988575,1379.17878205,57.616771500000006
203.5,2008.6200000000001,25.72841358,1399.5863298,1373.85791622,56.87005806
204.0,2016.3300000000002,25.359382410000002,1397.0787630600003,1371.71534799,56.701215930000004
204.5,2030.5599999999997,25.57084208,1389.6848056,1364.0916273599998,56.98157472
205.0,2068.06,24.674023860000002,1386.7438371800001,1362.02845212,56.1995305
